benchmark,classification,status,verification_exit_code,missing_root,missing_source_annotation,missing_normalized_annotation,missing_image_root,missing_manifest,missing_inventory,source_review_status,license_review_status,error
flickr30k,missing_data,BLOCKED_MISSING_DATA,2,data/flickr30k,data/flickr30k/incoming/dataset_flickr30k.json,data/flickr30k/annotations/test.jsonl,data/flickr30k/images,manifests/datasets/flickr30k.yaml,data/flickr30k/inventories/images.jsonl,NOT_RUN,NOT_RUN,error: manifest does not exist: manifests/datasets/flickr30k.yaml
mscoco,missing_data,BLOCKED_MISSING_DATA,2,data/mscoco,data/mscoco/incoming/dataset_coco.json,data/mscoco/annotations/test.jsonl,data/mscoco/images,manifests/datasets/mscoco.yaml,data/mscoco/inventories/images.jsonl,NOT_RUN,NOT_RUN,error: manifest does not exist: manifests/datasets/mscoco.yaml
sugarcrepe,missing_data,BLOCKED_MISSING_DATA,2,data/sugarcrepe,data/sugarcrepe/incoming/{add_att;add_obj;replace_att;replace_obj;replace_rel;swap_att;swap_obj}.json,data/sugarcrepe/annotations/test.jsonl,data/sugarcrepe/images/val2017,manifests/datasets/sugarcrepe.yaml,data/sugarcrepe/inventories/images.jsonl,NOT_RUN,NOT_RUN,error: manifest does not exist: manifests/datasets/sugarcrepe.yaml
aro,missing_data,BLOCKED_MISSING_DATA,2,data/aro,data/aro/incoming/aro.jsonl,data/aro/annotations/test.jsonl,data/aro/images,manifests/datasets/aro.yaml,data/aro/inventories/images.jsonl,NOT_RUN,NOT_RUN,error: manifest does not exist: manifests/datasets/aro.yaml
winoground,missing_data,BLOCKED_MISSING_DATA,2,data/winoground,data/winoground/incoming/winoground.jsonl,data/winoground/annotations/test.jsonl,data/winoground/images,manifests/datasets/winoground.yaml,data/winoground/inventories/images.jsonl,NOT_RUN,NOT_RUN,error: manifest does not exist: manifests/datasets/winoground.yaml
bivlc,missing_data,BLOCKED_MISSING_DATA,2,data/bivlc,data/bivlc/incoming/bivlc.jsonl,data/bivlc/annotations/test.jsonl,data/bivlc/images,manifests/datasets/bivlc.yaml,data/bivlc/inventories/images.jsonl,NOT_RUN,NOT_RUN,error: manifest does not exist: manifests/datasets/bivlc.yaml
